crawled_count,saved_count,category,virtual_web_count,target_len,timestamp
1620,6,technology,147,10.187184343434344,1703554731340417323
1620,2,transport,147,10.187184343434344,1703554731340417323
1620,47,climate_environment,147,10.187184343434344,1703554731340417323
1620,44,finance,147,10.187184343434344,1703554731340417323
1630,13,health,147,10.19931592039801,1703554741038326974
1630,15,education,147,10.19931592039801,1703554741038326974
1630,7,Agriculture,147,10.19931592039801,1703554741038326974
1630,6,technology,147,10.19931592039801,1703554741038326974
1630,2,transport,147,10.19931592039801,1703554741038326974
1630,47,climate_environment,147,10.19931592039801,1703554741038326974
1630,44,finance,147,10.19931592039801,1703554741038326974
1640,13,health,147,10.19931592039801,1703554750053757808
1640,15,education,147,10.19931592039801,1703554750053757808
1640,7,Agriculture,147,10.19931592039801,1703554750053757808
1640,6,technology,147,10.19931592039801,1703554750053757808
1640,2,transport,147,10.19931592039801,1703554750053757808
1640,47,climate_environment,147,10.19931592039801,1703554750053757808
1640,44,finance,147,10.19931592039801,1703554750053757808
1650,13,health,147,10.22746913580247,1703554759332290575
1650,15,education,147,10.22746913580247,1703554759332290575
1650,7,Agriculture,147,10.22746913580247,1703554759332290575
1650,6,technology,147,10.22746913580247,1703554759332290575
1650,2,transport,147,10.22746913580247,1703554759332290575
1650,48,climate_environment,147,10.22746913580247,1703554759332290575
1650,44,finance,147,10.22746913580247,1703554759332290575
1660,13,health,147,10.233149509803923,1703554773229144913
1660,15,education,147,10.233149509803923,1703554773229144913
1660,7,Agriculture,147,10.233149509803923,1703554773229144913
1660,6,technology,147,10.233149509803923,1703554773229144913
1660,2,transport,147,10.233149509803923,1703554773229144913
1660,49,climate_environment,147,10.233149509803923,1703554773229144913
1660,44,finance,147,10.233149509803923,1703554773229144913
1670,13,health,147,10.260644768856448,1703554782322790632
1670,16,education,147,10.260644768856448,1703554782322790632
1670,7,Agriculture,147,10.260644768856448,1703554782322790632
1670,6,technology,147,10.260644768856448,1703554782322790632
1670,2,transport,147,10.260644768856448,1703554782322790632
1670,49,climate_environment,147,10.260644768856448,1703554782322790632
1670,44,finance,147,10.260644768856448,1703554782322790632
1680,13,health,147,10.280495169082126,1703554791589466277
1680,16,education,147,10.280495169082126,1703554791589466277
1680,7,Agriculture,147,10.280495169082126,1703554791589466277
1680,6,technology,147,10.280495169082126,1703554791589466277
1680,2,transport,147,10.280495169082126,1703554791589466277
1680,50,climate_environment,147,10.280495169082126,1703554791589466277
1680,44,finance,147,10.280495169082126,1703554791589466277
1690,13,health,147,10.197916666666668,1703554800508891993
1690,16,education,147,10.197916666666668,1703554800508891993
1690,7,Agriculture,147,10.197916666666668,1703554800508891993
1690,8,technology,147,10.197916666666668,1703554800508891993
1690,2,transport,147,10.197916666666668,1703554800508891993
1690,50,climate_environment,147,10.197916666666668,1703554800508891993
1690,44,finance,147,10.197916666666668,1703554800508891993
1700,13,health,147,10.067890442890445,1703554809819388414
1700,17,education,147,10.067890442890445,1703554809819388414
1700,7,Agriculture,147,10.067890442890445,1703554809819388414
1700,8,technology,147,10.067890442890445,1703554809819388414
1700,2,transport,147,10.067890442890445,1703554809819388414
